# 4 - Tyrone

# County Title
#title = c_tyrone
title = c_tireoghain

# Settlements
max_settlements = 4
b_aileach_oldirish = tribal
b_coleraine_oldirish = tribal
b_derry_oldirish = temple

#b_dungannon = castle
#b_omagh = castle
#b_maghera = castle
#b_tullyhogue = castle
#b_dungiven = castle

# Misc
culture = irish
#religion = catholic
religion = eire_gaelic
terrain = hills

# History
98.1.27 = {
	#title = c_tyrone
	title = c_tireoghain
}
#1000.1.1 = {
#	b_aileach = castle
#	b_coleraine = city
#}
