#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_ROMA_PROV_TITLE;Province of;Province of;Province of;;Provincia de;;;;;;;;;x
k_ROMA_CONSUL_TITLE;Consul;Consul;Consul;;Cónsul;;;;;;;;;x
k_mod_roma_britannia;Britannia;Britannia;Britannia;;Britannia;;;;;;;;;x
k_mod_roma_britannia_adj;roman;roman;roman;;romano;;;;;;;;;x
k_mod_roma_gallia_belgica;Gallia Belgica;Gallia Belgica;Gallia Belgica;;Gallia Belgica;;;;;;;;;x
k_mod_roma_gallia_belgica_adj;roman;roman;roman;;romano;;;;;;;;;x
k_mod_roma_germania_inferior;Lower Germania;Lower Germania;Lower Germania;;Germania Inferior;;;;;;;;;x
k_mod_roma_germania_inferior_adj;roman;roman;roman;;romano;;;;;;;;;x
k_mod_roma_lugdunensis;Gallia Lugdunensis;Gallia Lugdunensis;Gallia Lugdunensis;;Gallia Lugdunensis;;;;;;;;;x
k_mod_roma_lugdunensis_adj;roman;roman;roman;;romano;;;;;;;;;x
k_mod_roma_gallia_aquitania;Gallia Aquitania;Gallia Aquitania;Gallia Aquitania;;Gallia Aquitania;;;;;;;;;x
k_mod_roma_gallia_aquitania_adj;roman;roman;roman;;romano;;;;;;;;;x
