#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_roma_regio1;;;;;Regio I Latium et Campania;;;;;;;;;x
d_roma_regio2;;;;;Regio II Apulia et Calabria;;;;;;;;;x
d_roma_regio3;;;;;Regio III Lucania et Brutii;;;;;;;;;x
d_roma_regio4;;;;;Regio IV Samnium;;;;;;;;;x
d_roma_regio5;;;;;Regio V Picenum;;;;;;;;;x
d_roma_regio6;;;;;Regio VI Umbria et Ager Gallicus;;;;;;;;;x
d_roma_regio7;;;;;Regio VII Etruria;;;;;;;;;x
d_roma_regio8;;;;;Regio VIII Aemilia;;;;;;;;;x
d_roma_regio9;;;;;Regio IX Liguria;;;;;;;;;x
d_roma_regio10;;;;;Regio X Venetia et Histria;;;;;;;;;x
d_roma_regio11;;;;;Regio XI Transpadana;;;;;;;;;x
e_mod_roman_empire;Roman Empire;Roman Empire;Roman Empire;;Imperio Romano;;;;;;;;;x
